OID_,Longitude,Latitude
941,-73.927956940000001,40.726439540000001
942,-73.919084029999993,40.722534330000002
943,-73.910201659999998,40.726427059999999
975,-73.936830889999996,40.730344070000001
976,-73.927948509999993,40.734238169999998
977,-73.919074559999999,40.730332959999998
978,-73.910191150000003,40.734225690000002
979,-73.901318239999995,40.730319110000003
980,-73.892433789999998,40.734210470000001
1010,-73.945699520000005,40.742046530000003
1011,-73.936823500000003,40.738142689999997
1012,-73.927940079999999,40.742036790000000
1013,-73.919065090000004,40.738131580000001
1014,-73.910180639999993,40.742024309999998
1015,-73.901306689999998,40.738117729999999
1016,-73.892421200000001,40.742009090000003
1017,-73.883548300000001,40.738101149999999
1018,-73.874661779999997,40.741991130000002
1045,-73.954576590000002,40.745949690000003
1046,-73.945693169999998,40.749845149999999
1047,-73.936816100000001,40.745941309999999
1048,-73.927931639999997,40.749835400000002
1049,-73.919055619999995,40.745930199999997
1050,-73.910170120000004,40.749822920000000
1051,-73.901295140000002,40.745916350000002
1052,-73.892408610000004,40.749807699999998
1053,-73.883534670000003,40.745899760000000
1054,-73.874647109999998,40.749789739999997
1055,-73.865774209999998,40.745880430000000
1056,-73.856885610000006,40.749769039999997
1081,-73.954571270000002,40.753748299999998
1082,-73.945686809999998,40.757643750000000
1083,-73.936808700000000,40.753739920000001
1084,-73.927923199999995,40.757634009999997
1085,-73.919046140000006,40.753728809999998
1086,-73.910159600000000,40.757621520000001
1087,-73.901283590000006,40.753714950000003
1088,-73.892396009999999,40.757606299999999
1089,-73.883521040000005,40.753698360000001
1090,-73.874632430000005,40.757588339999998
1091,-73.865758499999998,40.753679030000001
1092,-73.856868860000006,40.757567639999998
1093,-73.847995969999999,40.753656960000001
1117,-73.945680449999998,40.765442350000001
1118,-73.936801310000007,40.761538520000002
1119,-73.927914759999993,40.765432599999997
1120,-73.919036660000003,40.761527409999999
1121,-73.910149079999997,40.765420120000002
1122,-73.901272030000001,40.761513549999997
1123,-73.892383409999994,40.765404889999999
1124,-73.883507399999999,40.761496960000002
1125,-73.874617749999999,40.765386929999998
1126,-73.865742780000005,40.761477620000001
1151,-73.936793910000006,40.769337110000002
1152,-73.927906320000005,40.773231189999997
1153,-73.919027180000000,40.769325989999999
1154,-73.910138559999993,40.773218700000001
1155,-73.901260469999997,40.769312139999997
1156,-73.892370810000003,40.773203469999999
1157,-73.883493759999993,40.769295540000002
1158,-73.874603070000006,40.773185509999998
1159,-73.865727059999998,40.769276210000001
1182,-73.936786499999997,40.777135690000001
1183,-73.927897880000003,40.781029760000003
1184,-73.919017699999998,40.777124579999999
1185,-73.910128040000004,40.781017280000000
1186,-73.901248899999999,40.777110720000003
1187,-73.892358200000004,40.781002049999998
1213,-73.919008210000001,40.784923149999997
1214,-73.910117510000006,40.788815839999998
1215,-73.901237339999994,40.784909290000002
