OID_,Longitude,Latitude
74,-74.122934250000000,40.547025740000002
91,-74.122948600000001,40.554824519999997
92,-74.114087110000000,40.550934269999999
93,-74.105238929999999,40.554842110000003
109,-74.131811130000003,40.558714090000002
110,-74.122962959999995,40.562623289999998
111,-74.114100429999993,40.558733050000001
112,-74.105251210000006,40.562640889999997
113,-74.096389709999997,40.558749280000001
131,-74.140691110000006,40.570401730000000
132,-74.131826520000004,40.566512860000003
133,-74.122977309999996,40.570422059999999
134,-74.114113750000001,40.566531820000002
135,-74.105263500000007,40.570439659999998
136,-74.096400970000005,40.566548050000002
137,-74.087549679999995,40.570454529999999
157,-74.149556739999994,40.574289919999998
158,-74.140707539999994,40.578200490000000
159,-74.131841910000006,40.574311620000003
160,-74.122991670000005,40.578220829999999
161,-74.114127069999995,40.574330590000002
162,-74.105275789999993,40.578238429999999
163,-74.096412220000005,40.574346820000002
164,-74.087559909999996,40.578253289999999
165,-74.078697370000000,40.574360319999997
166,-74.069844009999997,40.578265430000002
193,-74.158441900000000,40.585976180000003
194,-74.149574200000004,40.582088679999998
195,-74.140723969999996,40.585999250000000
196,-74.131857310000001,40.582110380000003
197,-74.123006029999999,40.586019579999999
198,-74.114140399999997,40.582129350000002
199,-74.105288090000002,40.586037179999998
200,-74.096423479999999,40.582145580000002
201,-74.087570130000003,40.586052049999999
202,-74.078706560000001,40.582159079999997
203,-74.069852170000004,40.586064190000002
233,-74.167310630000003,40.589863000000001
234,-74.158460399999996,40.593774930000002
235,-74.149591670000007,40.589887429999997
236,-74.140740410000006,40.593798000000000
237,-74.131872700000002,40.589909130000002
238,-74.123020400000001,40.593818329999998
239,-74.114153729999998,40.589928100000002
240,-74.105300380000003,40.593835939999998
241,-74.096434740000007,40.589944340000002
242,-74.087580360000004,40.593850809999999
243,-74.078715750000001,40.589957839999997
244,-74.069860329999997,40.593862950000002
245,-74.060996750000001,40.589968620000000
278,-74.176200960000003,40.601547859999997
279,-74.167330170000000,40.597661739999999
