OID_,Longitude,Latitude
6,-73.997578200000007,40.573430559999998
8,-73.979863580000000,40.573428819999997
30,-74.006435879999998,40.577329790000000
32,-73.988720229999998,40.577329419999998
33,-73.979861229999997,40.581227589999997
34,-73.971004570000005,40.577326309999997
35,-73.962144539999997,40.581223119999997
36,-73.953288920000006,40.577320469999997
37,-73.944427849999997,40.581215909999997
38,-73.935573280000000,40.577311909999999
43,-73.891277830000007,40.581177910000001
56,-73.997577629999995,40.589028089999999
57,-73.988718910000003,40.585128179999998
58,-73.979858870000001,40.589026349999997
59,-73.971001189999996,40.585125079999997
60,-73.962140120000001,40.589021879999997
61,-73.953283470000002,40.585119239999997
62,-73.944421360000007,40.589014669999997
63,-73.935565749999995,40.585110669999999
64,-73.926702620000000,40.589004740000000
65,-73.917848039999996,40.585099370000002
66,-73.908983870000000,40.588992070000003
68,-73.891265140000002,40.588976670000001
69,-73.882412639999998,40.585068569999997
71,-73.864694950000001,40.585049069999997
81,-73.997577350000000,40.596826849999999
82,-73.988717589999993,40.592926939999998
83,-73.979856519999998,40.596825109999997
84,-73.970997800000006,40.592923839999997
85,-73.962135700000005,40.596820639999997
86,-73.953278010000005,40.592917999999997
87,-73.944414870000003,40.596813429999997
88,-73.935558229999998,40.592909429999999
89,-73.926694049999995,40.596803489999999
91,-73.908973239999995,40.596790820000002
92,-73.900118669999998,40.592884089999998
93,-73.891252440000002,40.596775420000000
94,-73.882398910000006,40.592867320000003
97,-73.855810860000005,40.596736419999999
104,-74.015299959999993,40.604624610000002
105,-74.006438140000000,40.600726070000000
106,-73.997577070000006,40.604625599999999
107,-73.988716280000006,40.600725699999998
108,-73.979854169999996,40.604623859999997
109,-73.970994410000003,40.600722589999997
110,-73.962131270000000,40.604619390000003
111,-73.953272549999994,40.600716749999997
112,-73.944408379999999,40.604612179999997
113,-73.935550699999993,40.600708179999998
114,-73.926685489999997,40.604602239999998
115,-73.917828850000006,40.600696870000000
116,-73.908962610000003,40.604589570000002
117,-73.900107009999999,40.600682839999997
119,-73.882385170000006,40.600666070000003
127,-74.033026719999995,40.612419619999997
128,-74.024162820000001,40.608522460000003
129,-74.015301750000006,40.612423350000000
130,-74.006438889999998,40.608524820000000
131,-73.997576780000003,40.612424339999997
132,-73.988714959999996,40.608524439999997
133,-73.979851819999993,40.612422600000002
134,-73.970991029999993,40.608521340000003
135,-73.962126850000004,40.612418130000002
136,-73.953267100000005,40.608515500000003
137,-73.944401889999995,40.612410920000002
138,-73.935543170000003,40.608506920000004
139,-73.926676929999999,40.612400979999997
141,-73.908951970000004,40.612388310000000
142,-73.900095339999993,40.608481580000003
149,-73.838052250000004,40.612310280000003
152,-74.033030580000002,40.620218360000003
153,-74.024165650000000,40.616321200000002
154,-74.015303540000005,40.620222089999999
155,-74.006439639999996,40.616323559999998
156,-73.997576499999994,40.620223080000002
157,-73.988713640000000,40.616323190000003
158,-73.979849459999997,40.620221340000001
159,-73.970987640000004,40.616320080000001
160,-73.962122420000000,40.620216870000000
161,-73.953261639999994,40.616314240000001
162,-73.944395389999997,40.620209660000000
163,-73.935535639999998,40.616305660000002
164,-73.926668359999994,40.620199720000002
165,-73.917809649999995,40.616294359999998
166,-73.908941339999998,40.620187039999998
167,-73.900083660000007,40.616280320000001
170,-73.873487310000002,40.620153490000000
172,-73.855760320000002,40.620132620000000
177,-74.033034439999994,40.628017090000000
178,-74.024168470000006,40.624119929999999
179,-74.015305330000004,40.628020820000003
180,-74.006440400000002,40.624122290000003
181,-73.997576219999999,40.628021820000001
182,-73.988712320000005,40.624121920000000
183,-73.979847109999994,40.628020069999998
184,-73.970984250000001,40.624118809999999
185,-73.962118000000004,40.628015599999998
186,-73.953256179999997,40.624112969999999
187,-73.944388889999999,40.628008389999998
188,-73.935528110000007,40.624104400000000
189,-73.926659790000002,40.627998450000000
190,-73.917800049999997,40.624093090000002
193,-73.891201609999996,40.627970359999999
202,-74.033038300000001,40.635815819999998
203,-74.024171289999998,40.631918659999997
204,-74.015307120000003,40.635819550000001
205,-74.006441150000001,40.631921020000000
206,-73.997575929999996,40.635820539999997
207,-73.988710999999995,40.631920649999998
208,-73.979844749999998,40.635818800000003
209,-73.970980859999997,40.631917540000003
210,-73.962113570000000,40.635814330000002
211,-73.953250710000006,40.631911700000003
212,-73.944382390000001,40.635807120000003
213,-73.935520569999994,40.631903119999997
214,-73.926651219999997,40.635797169999996
215,-73.917790440000005,40.631891809999999
216,-73.908920050000006,40.635784489999999
217,-73.900060310000001,40.631877770000003
218,-73.891188889999995,40.635769080000003
227,-74.033042159999994,40.643614540000002
228,-74.024174119999998,40.639717390000001
229,-74.015308899999994,40.643618269999997
230,-74.006441899999999,40.639719749999998
231,-73.997575650000002,40.643619260000001
232,-73.988709679999999,40.639719370000002
233,-73.979842399999995,40.643617519999999
234,-73.970977460000000,40.639716260000000
235,-73.962109139999995,40.643613039999998
236,-73.953245249999995,40.639710420000000
237,-73.944375890000003,40.643605829999998
238,-73.935513040000004,40.639701850000002
239,-73.926642650000005,40.643595890000000
240,-73.917780829999998,40.639690530000003
241,-73.908909410000007,40.643583210000003
242,-73.900048630000001,40.639676489999999
243,-73.891176180000002,40.643567800000000
244,-73.882316439999997,40.639659709999997
245,-73.873442949999998,40.643549649999997
253,-74.024176940000004,40.647516099999997
254,-74.015310690000007,40.651416980000000
255,-74.006442649999997,40.647518460000001
256,-73.997575370000007,40.651417969999997
257,-73.988708360000004,40.647518089999998
258,-73.979840039999999,40.651416230000002
259,-73.970974069999997,40.647514979999997
260,-73.962104710000006,40.651411760000002
261,-73.953239780000004,40.647509139999997
262,-73.944369390000006,40.651404540000001
263,-73.935505500000005,40.647500559999997
264,-73.926634070000006,40.651394600000003
265,-73.917771220000006,40.647489250000000
266,-73.908898760000000,40.651381919999999
267,-73.900036950000001,40.647475200000002
268,-73.891163460000001,40.651366500000002
269,-73.882302679999995,40.647458420000000
270,-73.873428160000003,40.651348349999999
271,-73.864568430000006,40.647438899999997
279,-74.015312480000006,40.659215690000003
280,-74.006443410000003,40.655317169999996
281,-73.997575080000004,40.659216680000000
282,-73.988707039999994,40.655316800000001
283,-73.979837680000003,40.659214939999998
284,-73.970970679999994,40.655313690000000
285,-73.962100280000001,40.659210459999997
286,-73.953234320000007,40.655307850000000
287,-73.944362889999994,40.659203249999997
288,-73.935497960000006,40.655299270000000
289,-73.926625500000000,40.659193299999998
290,-73.917761609999999,40.655287950000002
291,-73.908888110000007,40.659180620000001
292,-73.900025260000007,40.655273899999997
293,-73.891150730000007,40.659165199999997
294,-73.882288930000001,40.655257120000002
295,-73.873413360000001,40.659147050000001
296,-73.864552599999996,40.655237600000000
306,-73.997574799999995,40.667015380000002
307,-73.988705719999999,40.663115500000004
308,-73.979835320000007,40.667013640000000
309,-73.970967290000004,40.663112390000002
310,-73.962095849999997,40.667009159999999
311,-73.953228850000002,40.663106550000002
312,-73.944356380000002,40.667001950000000
313,-73.935490419999994,40.663097970000003
314,-73.926616920000001,40.666992000000000
315,-73.917751989999999,40.663086649999997
316,-73.908877459999999,40.666979310000002
317,-73.900013569999999,40.663072600000000
318,-73.891137999999998,40.666963899999999
319,-73.882275160000006,40.663055810000003
320,-73.873398559999998,40.666945740000003
321,-73.864536759999993,40.663036290000001
329,-74.015316069999997,40.674813080000000
330,-74.006444909999999,40.670914570000001
331,-73.997574520000001,40.674814069999996
332,-73.988704400000003,40.670914199999999
333,-73.979832970000004,40.674812330000002
334,-73.970963889999993,40.670911089999997
335,-73.962091419999993,40.674807850000001
336,-73.953223379999997,40.670905240000003
337,-73.944349880000004,40.674800640000001
338,-73.935482879999995,40.670896659999997
339,-73.926608340000001,40.674790690000002
340,-73.917742380000007,40.670885339999998
341,-73.908866799999998,40.674778000000003
342,-73.900001880000005,40.670871290000001
343,-73.891125279999997,40.674762579999999
344,-73.882261400000004,40.670854499999997
345,-73.873383759999996,40.674744420000003
346,-73.864520920000004,40.670834980000002
355,-74.006445670000005,40.678713260000002
356,-73.997574229999998,40.682612749999997
357,-73.988703079999993,40.678712879999999
358,-73.979830609999993,40.682611010000002
359,-73.970960500000004,40.678709769999998
360,-73.962086990000003,40.682606530000001
361,-73.953217910000006,40.678703929999998
362,-73.944343369999999,40.682599320000001
363,-73.935475330000003,40.678695349999998
364,-73.926599749999994,40.682589370000002
365,-73.917732760000007,40.678684029999999
366,-73.908856139999997,40.682576679999997
367,-73.899990189999997,40.678669970000001
368,-73.891112539999995,40.682561260000000
369,-73.882247629999995,40.678653179999998
370,-73.873368950000000,40.682543099999997
371,-73.864505080000001,40.678633660000003
381,-73.997573950000003,40.690411429999997
382,-73.988701759999998,40.686511560000000
383,-73.979828249999997,40.690409690000003
384,-73.970957100000007,40.686508449999998
385,-73.962082550000005,40.690405210000002
386,-73.953212440000001,40.686502609999998
387,-73.944336860000007,40.690397990000001
388,-73.935467790000004,40.686494019999998
389,-73.926591169999995,40.690388040000002
390,-73.917723140000007,40.686482699999999
391,-73.908845479999997,40.690375349999997
392,-73.899978489999995,40.686468650000002
394,-73.882233859999999,40.686451859999998
395,-73.873354140000004,40.690341770000003
406,-73.997573660000000,40.698210099999997
407,-73.988700440000002,40.694310240000000
408,-73.979825890000001,40.698208360000002
409,-73.970953699999995,40.694307129999999
410,-73.962078120000001,40.698203880000001
411,-73.953206969999997,40.694301279999998
412,-73.944330350000001,40.698196660000001
413,-73.935460239999998,40.694292689999997
414,-73.926582580000002,40.698186710000002
415,-73.917713509999999,40.694281369999999
416,-73.908834819999996,40.698174020000003
432,-73.988699120000007,40.702108899999999
434,-73.970950299999998,40.702105789999997
435,-73.962073680000003,40.706002540000000
436,-73.953201489999998,40.702099939999997
437,-73.944323830000002,40.705995320000000
438,-73.935452690000005,40.702091359999997
439,-73.926573989999994,40.705985370000001
440,-73.917703889999999,40.702080039999998
460,-73.962069240000005,40.713801189999998
461,-73.953196019999993,40.709898600000002
462,-73.944317319999996,40.713793969999998
463,-73.935445139999999,40.709890010000002
464,-73.926565400000001,40.713784019999999
485,-73.962064799999993,40.721599840000003
486,-73.953190539999994,40.717697250000001
487,-73.944310799999997,40.721592620000003
488,-73.935437579999999,40.717688660000000
489,-73.926556809999994,40.721582660000003
511,-73.953185059999996,40.725495889999998
512,-73.944304290000005,40.729391249999999
513,-73.935430030000006,40.725487299999998
536,-73.953179590000005,40.733294520000001
