OID_,Longitude,Latitude
102,-74.033022860000003,40.604620879999999
127,-74.033026719999995,40.612419619999997
128,-74.024162820000001,40.608522460000003
151,-74.041891649999997,40.616316110000000
152,-74.033030580000002,40.620218360000003
153,-74.024165650000000,40.616321200000002
154,-74.015303540000005,40.620222089999999
176,-74.041896539999996,40.624114839999997
177,-74.033034439999994,40.628017090000000
178,-74.024168470000006,40.624119929999999
179,-74.015305330000004,40.628020820000003
180,-74.006440400000002,40.624122290000003
181,-73.997576219999999,40.628021820000001
201,-74.041901440000004,40.631913570000002
202,-74.033038300000001,40.635815819999998
203,-74.024171289999998,40.631918659999997
204,-74.015307120000003,40.635819550000001
205,-74.006441150000001,40.631921020000000
227,-74.033042159999994,40.643614540000002
228,-74.024174119999998,40.639717390000001
