OID_,Longitude,Latitude
605,-73.848244699999995,40.644475839999998
606,-73.839368590000007,40.648363150000002
639,-73.857086379999998,40.656185250000000
640,-73.848226960000005,40.652274540000001
641,-73.839349810000002,40.656161849999997
642,-73.830491440000003,40.652249769999997
643,-73.821613260000007,40.656135710000001
674,-73.848209220000001,40.660073240000003
675,-73.839331029999997,40.663960529999997
676,-73.830471619999997,40.660048459999999
677,-73.821592400000000,40.663934390000001
678,-73.812734039999995,40.660020950000003
679,-73.803853790000005,40.663905509999999
681,-73.786115190000004,40.663873899999999
682,-73.777258919999994,40.659957730000002
708,-73.848191470000003,40.667871920000003
709,-73.839312239999998,40.671759209999998
710,-73.830451800000006,40.667847139999999
711,-73.821571539999994,40.671733070000002
712,-73.812712140000002,40.667819629999997
713,-73.803830849999997,40.671704190000000
714,-73.794972500000000,40.667789380000002
715,-73.786090180000002,40.671672569999998
716,-73.777232880000000,40.667756400000002
741,-73.857036239999999,40.679581300000002
742,-73.848173720000005,40.675670599999997
743,-73.839293450000000,40.679557889999998
744,-73.830431970000006,40.675645820000000
745,-73.821550669999993,40.679531740000002
746,-73.812690239999995,40.675618309999997
747,-73.803807910000003,40.679502849999999
748,-73.794948529999999,40.675588050000002
749,-73.786065170000001,40.679471229999997
750,-73.777206829999997,40.675555070000001
776,-73.857019519999994,40.687379970000002
777,-73.848155960000000,40.683469270000003
778,-73.839274649999993,40.687356559999998
779,-73.830412140000007,40.683444489999999
780,-73.821529799999993,40.687330400000000
781,-73.812668340000002,40.683416970000003
782,-73.803784969999995,40.687301509999998
783,-73.794924550000005,40.683386720000001
784,-73.786040150000005,40.687269890000003
785,-73.777180779999995,40.683353719999999
812,-73.857002789999996,40.695178630000001
813,-73.848138199999994,40.691267940000003
814,-73.839255850000001,40.695155210000003
815,-73.830392309999993,40.691243149999998
816,-73.821508929999993,40.695129059999999
817,-73.812646430000001,40.691215630000002
818,-73.803762019999994,40.695100170000003
819,-73.794900560000002,40.691185369999999
820,-73.786015120000002,40.695068540000001
821,-73.777154710000005,40.691152379999998
848,-73.848120440000002,40.699066590000001
849,-73.839237049999994,40.702953870000002
850,-73.830372470000000,40.699041800000003
851,-73.821488049999999,40.702927709999997
852,-73.812624510000006,40.699014280000000
853,-73.803739059999998,40.702898810000001
854,-73.794876570000000,40.698984019999997
855,-73.785990089999999,40.702867179999998
856,-73.777128649999995,40.698951020000003
884,-73.830352619999999,40.706840450000001
885,-73.821467159999997,40.710726350000002
886,-73.812602589999997,40.706812919999997
887,-73.803716100000003,40.710697449999998
888,-73.794852570000003,40.706782660000002
889,-73.785965050000001,40.710665810000002
890,-73.777102569999997,40.706749649999999
920,-73.812580659999995,40.714611560000002
921,-73.803693129999999,40.718496080000001
922,-73.794828570000007,40.714581289999998
923,-73.785940010000004,40.718464439999998
924,-73.777076489999999,40.714548280000002
956,-73.794804560000003,40.722379910000001
957,-73.785914959999999,40.726263050000000
958,-73.777050410000001,40.722346899999998
993,-73.777024319999995,40.730145510000000
