OID_,Longitude,Latitude
429,-74.015323230000007,40.706007769999999
430,-74.006447929999993,40.702109280000002
431,-73.997573380000006,40.706008760000003
454,-74.015325030000000,40.713806419999997
455,-74.006448680000005,40.709907930000000
456,-73.997573099999997,40.713807410000001
457,-73.988697790000003,40.709907559999998
458,-73.979821169999994,40.713805669999999
479,-74.015326819999999,40.721605070000003
480,-74.006449439999997,40.717706579999998
481,-73.997572809999994,40.721606059999999
482,-73.988696469999994,40.717706210000003
483,-73.979818809999998,40.721604319999997
505,-74.006450189999995,40.725505220000002
506,-73.997572529999999,40.729404700000003
507,-73.988695149999998,40.725504850000000
508,-73.979816450000001,40.729402950000001
509,-73.970940110000001,40.725501739999999
530,-74.006450950000001,40.733303859999999
531,-73.997572250000005,40.737203330000000
532,-73.988693830000003,40.733303479999996
533,-73.979814079999997,40.737201579999997
555,-74.006451700000000,40.741102480000002
556,-73.997571960000002,40.745001950000002
557,-73.988692499999999,40.741102110000000
558,-73.979811720000001,40.745000200000000
559,-73.970933299999999,40.741098989999998
