OID_,Longitude,Latitude
307,-73.988705719999999,40.663115500000004
308,-73.979835320000007,40.667013640000000
310,-73.962095849999997,40.667009159999999
311,-73.953228850000002,40.663106550000002
312,-73.944356380000002,40.667001950000000
313,-73.935490419999994,40.663097970000003
314,-73.926616920000001,40.666992000000000
329,-74.015316069999997,40.674813080000000
330,-74.006444909999999,40.670914570000001
331,-73.997574520000001,40.674814069999996
332,-73.988704400000003,40.670914199999999
333,-73.979832970000004,40.674812330000002
335,-73.962091419999993,40.674807850000001
336,-73.953223379999997,40.670905240000003
337,-73.944349880000004,40.674800640000001
338,-73.935482879999995,40.670896659999997
339,-73.926608340000001,40.674790690000002
340,-73.917742380000007,40.670885339999998
341,-73.908866799999998,40.674778000000003
354,-74.015317859999996,40.682611760000000
355,-74.006445670000005,40.678713260000002
356,-73.997574229999998,40.682612749999997
357,-73.988703079999993,40.678712879999999
358,-73.979830609999993,40.682611010000002
359,-73.970960500000004,40.678709769999998
360,-73.962086990000003,40.682606530000001
361,-73.953217910000006,40.678703929999998
362,-73.944343369999999,40.682599320000001
363,-73.935475330000003,40.678695349999998
364,-73.926599749999994,40.682589370000002
365,-73.917732760000007,40.678684029999999
366,-73.908856139999997,40.682576679999997
380,-74.006446420000003,40.686511940000003
381,-73.997573950000003,40.690411429999997
382,-73.988701759999998,40.686511560000000
383,-73.979828249999997,40.690409690000003
384,-73.970957100000007,40.686508449999998
385,-73.962082550000005,40.690405210000002
386,-73.953212440000001,40.686502609999998
387,-73.944336860000007,40.690397990000001
388,-73.935467790000004,40.686494019999998
389,-73.926591169999995,40.690388040000002
390,-73.917723140000007,40.686482699999999
391,-73.908845479999997,40.690375349999997
406,-73.997573660000000,40.698210099999997
407,-73.988700440000002,40.694310240000000
408,-73.979825890000001,40.698208360000002
409,-73.970953699999995,40.694307129999999
410,-73.962078120000001,40.698203880000001
411,-73.953206969999997,40.694301279999998
412,-73.944330350000001,40.698196660000001
413,-73.935460239999998,40.694292689999997
414,-73.926582580000002,40.698186710000002
415,-73.917713509999999,40.694281369999999
416,-73.908834819999996,40.698174020000003
432,-73.988699120000007,40.702108899999999
435,-73.962073680000003,40.706002540000000
436,-73.953201489999998,40.702099939999997
437,-73.944323830000002,40.705995320000000
438,-73.935452690000005,40.702091359999997
439,-73.926573989999994,40.705985370000001
440,-73.917703889999999,40.702080039999998
460,-73.962069240000005,40.713801189999998
461,-73.953196019999993,40.709898600000002
462,-73.944317319999996,40.713793969999998
463,-73.935445139999999,40.709890010000002
464,-73.926565400000001,40.713784019999999
485,-73.962064799999993,40.721599840000003
486,-73.953190539999994,40.717697250000001
487,-73.944310799999997,40.721592620000003
488,-73.935437579999999,40.717688660000000
489,-73.926556809999994,40.721582660000003
510,-73.962060359999995,40.729398470000000
511,-73.953185059999996,40.725495889999998
512,-73.944304290000005,40.729391249999999
513,-73.935430030000006,40.725487299999998
535,-73.962055919999997,40.737197100000003
536,-73.953179590000005,40.733294520000001
537,-73.944297770000006,40.737189880000003
